agent,timestep,location,x,y,orientation
5,0,147,27,4,-1
5,1,146,26,4,-1
5,2,145,25,4,-1
5,3,144,24,4,-1
5,4,143,23,4,-1
5,5,142,22,4,-1
5,6,141,21,4,-1
5,7,111,21,3,-1
5,8,110,20,3,-1
5,9,109,19,3,-1
5,10,108,18,3,-1
5,11,107,17,3,-1
5,12,106,16,3,-1
5,13,136,16,4,-1
5,14,136,16,4,-1
5,15,782,2,26,-1
5,16,783,3,26,-1
5,17,784,4,26,-1
5,18,785,5,26,-1
5,19,786,6,26,-1
5,20,787,7,26,-1
5,21,788,8,26,-1
5,22,789,9,26,-1
5,23,819,9,27,-1
5,24,820,10,27,-1
5,25,821,11,27,-1
5,26,822,12,27,-1
5,27,823,13,27,-1
5,28,824,14,27,-1
5,29,825,15,27,-1
5,30,826,16,27,-1
5,31,796,16,26,-1
5,32,796,16,26,-1
5,33,796,16,26,-1
5,34,602,2,20,-1
5,35,603,3,20,-1
5,36,604,4,20,-1
5,37,605,5,20,-1
5,38,606,6,20,-1
5,39,607,7,20,-1
5,40,608,8,20,-1
5,41,609,9,20,-1
5,42,610,10,20,-1
5,43,611,11,20,-1
5,44,612,12,20,-1
5,45,613,13,20,-1
5,46,614,14,20,-1
5,47,615,15,20,-1
5,48,616,16,20,-1
5,49,617,17,20,-1
5,50,618,18,20,-1
5,51,588,18,19,-1
5,52,588,18,19,-1
5,53,588,18,19,-1
5,54,588,18,19,-1
5,55,602,2,20,-1
5,56,603,3,20,-1
5,57,604,4,20,-1
5,58,605,5,20,-1
5,59,606,6,20,-1
5,60,607,7,20,-1
5,61,608,8,20,-1
5,62,609,9,20,-1
5,63,579,9,19,-1
5,64,549,9,18,-1
5,65,519,9,17,-1
5,66,489,9,16,-1
5,67,459,9,15,-1
5,68,429,9,14,-1
5,69,399,9,13,-1
5,70,369,9,12,-1
5,71,339,9,11,-1
5,72,340,10,11,-1
5,73,341,11,11,-1
5,74,342,12,11,-1
5,75,343,13,11,-1
5,76,344,14,11,-1
5,77,345,15,11,-1
5,78,346,16,11,-1
5,79,347,17,11,-1
5,80,317,17,10,-1
5,81,287,17,9,-1
5,82,257,17,8,-1
5,83,227,17,7,-1
5,84,197,17,6,-1
5,85,167,17,5,-1
5,86,167,17,5,-1
5,87,167,17,5,-1
5,88,602,2,20,-1
5,89,603,3,20,-1
5,90,604,4,20,-1
5,91,605,5,20,-1
5,92,606,6,20,-1
5,93,607,7,20,-1
5,94,577,7,19,-1
5,95,547,7,18,-1
5,96,517,7,17,-1
5,97,487,7,16,-1
5,98,457,7,15,-1
5,99,427,7,14,-1
5,100,397,7,13,-1
5,101,367,7,12,-1
5,102,337,7,11,-1
5,103,307,7,10,-1
5,104,277,7,9,-1
5,105,247,7,8,-1
5,106,217,7,7,-1
5,107,218,8,7,-1
5,108,219,9,7,-1
5,109,189,9,6,-1
5,110,159,9,5,-1
5,111,129,9,4,-1
5,112,99,9,3,-1
5,113,100,10,3,-1
5,114,101,11,3,-1
5,115,102,12,3,-1
5,116,103,13,3,-1
5,117,104,14,3,-1
5,118,105,15,3,-1
5,119,106,16,3,-1
5,120,107,17,3,-1
5,121,108,18,3,-1
5,122,138,18,4,-1
5,123,138,18,4,-1
5,124,138,18,4,-1
5,125,782,2,26,-1
5,126,783,3,26,-1
5,127,784,4,26,-1
5,128,785,5,26,-1
5,129,786,6,26,-1
5,130,787,7,26,-1
5,131,788,8,26,-1
5,132,789,9,26,-1
5,133,759,9,25,-1
5,134,760,10,25,-1
5,135,761,11,25,-1
5,136,762,12,25,-1
5,137,732,12,24,-1
5,138,702,12,23,-1
5,139,672,12,22,-1
5,140,642,12,21,-1
5,141,612,12,20,-1
5,142,582,12,19,-1
5,143,552,12,18,-1
5,144,522,12,17,-1
5,145,492,12,16,-1
5,146,462,12,15,-1
5,147,432,12,14,-1
5,148,402,12,13,-1
5,149,372,12,12,-1
5,150,372,12,12,-1
5,151,372,12,12,-1
5,152,776,26,25,-1
5,153,775,25,25,-1
5,154,774,24,25,-1
5,155,773,23,25,-1
5,156,772,22,25,-1
5,157,771,21,25,-1
5,158,770,20,25,-1
5,159,769,19,25,-1
5,160,768,18,25,-1
5,161,767,17,25,-1
5,162,766,16,25,-1
5,163,765,15,25,-1
5,164,764,14,25,-1
5,165,763,13,25,-1
5,166,762,12,25,-1
5,167,761,11,25,-1
5,168,791,11,26,-1
5,169,791,11,26,-1
5,170,791,11,26,-1
5,171,602,2,20,-1
5,172,603,3,20,-1
5,173,604,4,20,-1
5,174,605,5,20,-1
5,175,606,6,20,-1
5,176,607,7,20,-1
5,177,577,7,19,-1
5,178,547,7,18,-1
5,179,517,7,17,-1
5,180,487,7,16,-1
5,181,457,7,15,-1
5,182,427,7,14,-1
5,183,397,7,13,-1
5,184,367,7,12,-1
5,185,337,7,11,-1
5,186,307,7,10,-1
5,187,277,7,9,-1
5,188,247,7,8,-1
5,189,217,7,7,-1
5,190,218,8,7,-1
5,191,219,9,7,-1
5,192,189,9,6,-1
5,193,159,9,5,-1
5,194,129,9,4,-1
5,195,99,9,3,-1
5,196,100,10,3,-1
5,197,101,11,3,-1
5,198,102,12,3,-1
5,199,103,13,3,-1
5,200,104,14,3,-1
5,201,105,15,3,-1
5,202,106,16,3,-1
5,203,107,17,3,-1
5,204,108,18,3,-1
5,205,109,19,3,-1
5,206,139,19,4,-1
5,207,139,19,4,-1
5,208,139,19,4,-1
5,209,139,19,4,-1
